model,accuracy,precision,recall,f1_score
logistic_regression,0.7374024130589071,0.5034129692832765,0.7887700534759359,0.6145833333333334
random_forest,0.7877927608232789,0.629757785467128,0.48663101604278075,0.5490196078431373
random_forest_tuned,0.7650816181689141,0.5419103313840156,0.7433155080213903,0.6268320180383314
